fecha_ocurrencia,ramo,cliente_id,monto_reclamacion
2018-01-10,Auto,C006671,20009.42
2018-01-10,Auto,C006600,190225.83
2018-01-10,Auto,C007752,26092.76
2018-01-10,Auto,C003614,26212.84
2018-01-10,Daños,C000499,59970.17
2018-01-10,Gastos Médicos,C004397,33464.22
2018-01-10,Auto,C006587,23693.85
2018-01-10,Auto,C004801,95432.99
2018-01-10,Auto,C007107,52907.78
2018-01-10,Gastos Médicos,C000165,32546.44
2018-01-10,Auto,C003354,26113.51
2018-01-10,Auto,C003047,20016.77
2018-01-10,Auto,C000257,21188.7
2018-01-11,Gastos Médicos,C007616,62715.19
2018-01-11,Gastos Médicos,C004079,31165.53
2018-01-11,Auto,C007255,28980.31
2018-01-11,Gastos Médicos,C002107,35058.77
2018-01-11,Vida,C002161,248322.63
2018-01-11,Vida,C004608,115397.15
2018-01-11,Daños,C003964,68901.58
2018-01-11,Daños,C001389,408969.34
2018-01-11,Vida,C003541,111851.18
2018-01-11,Vida,C006284,220617.7
2018-01-11,Vida,C000899,179182.25
2018-01-11,Daños,C005362,104358.79
2018-01-11,Auto,C005440,22210.91
2018-01-11,Daños,C007635,104049.51
2018-01-11,Auto,C007597,23202.92
2018-01-11,Auto,C000631,36724.79
2018-01-11,Vida,C006885,195376.54
2018-01-11,Auto,C000482,21840.1
2018-01-11,Auto,C002440,83124.43
2018-01-11,Gastos Médicos,C005411,101697.3
2018-01-11,Auto,C005060,25958.32
2018-01-12,Auto,C000055,48753.28
2018-01-12,Vida,C004420,112642.73
2018-01-12,Gastos Médicos,C001939,51092.36
2018-01-12,Gastos Médicos,C006984,36278.11
2018-01-12,Auto,C004962,46025.55
2018-01-12,Auto,C007988,98521.11
2018-01-12,Auto,C002487,30673.37
2018-01-12,Gastos Médicos,C000493,40925.59
2018-01-12,Gastos Médicos,C005112,46254.97
2018-01-12,Auto,C002329,20225.83
2018-01-12,Daños,C003804,145894.98
2018-01-12,Auto,C003435,29985.65
2018-01-12,Auto,C007528,25621.52
2018-01-12,Gastos Médicos,C001679,33180.66
2018-01-12,Auto,C003200,35421.66
2018-01-12,Auto,C004625,23613.52
2018-01-12,Auto,C000053,22215.84
2018-01-12,Daños,C003262,64796.99
2018-01-12,Auto,C005662,232523.61
2018-01-12,Gastos Médicos,C003253,100110.86
2018-01-12,Daños,C006762,82999.86
2018-01-12,Gastos Médicos,C003457,128699.1
2018-01-12,Auto,C007228,23330.75
2018-01-13,Daños,C007562,88261.99
2018-01-13,Auto,C004995,22853.24
2018-01-13,Gastos Médicos,C000034,47688.31
2018-01-13,Gastos Médicos,C000696,525357.86
2018-01-13,Daños,C007045,52195.04
2018-01-13,Auto,C005912,64923.57
2018-01-13,Auto,C000672,29869.16
2018-01-13,Gastos Médicos,C002561,40512.15
2018-01-13,Vida,C007006,124923.26
2018-01-13,Gastos Médicos,C007056,34269.23
2018-01-13,Auto,C006545,21289.52
2018-01-13,Gastos Médicos,C007816,61307.31
2018-01-13,Auto,C006759,20522.33
2018-01-13,Daños,C004494,123629.27
2018-01-13,Auto,C001272,20604.6
2018-01-13,Auto,C002529,25883.77
2018-01-14,Vida,C004581,111270.58
2018-01-14,Daños,C003162,263956.35
2018-01-14,Auto,C004252,169217.35
2018-01-14,Gastos Médicos,C007218,120597.83
2018-01-14,Daños,C001824,145901.15
2018-01-14,Gastos Médicos,C000456,49825.16
2018-01-14,Gastos Médicos,C006171,71514.0
2018-01-14,Gastos Médicos,C001865,72674.84
2018-01-14,Auto,C000550,25942.14
2018-01-14,Auto,C002929,22548.29
2018-01-14,Vida,C001405,204696.5
2018-01-14,Daños,C006631,62446.52
2018-01-14,Gastos Médicos,C002116,34096.32
2018-01-15,Daños,C002714,51850.19
2018-01-15,Auto,C000081,23981.82
2018-01-15,Gastos Médicos,C001209,37515.63
2018-01-15,Daños,C005988,65522.21
2018-01-15,Daños,C001560,88524.67
2018-01-15,Daños,C002267,104594.65
2018-01-15,Gastos Médicos,C006469,58359.4
2018-01-15,Daños,C005937,217726.44
2018-01-15,Auto,C004844,46584.79
2018-01-15,Daños,C004876,80702.39
2018-01-16,Daños,C006641,101078.52
2018-01-16,Daños,C000634,108750.94
2018-01-16,Auto,C006893,21885.98
2018-01-16,Auto,C006171,37472.58
2018-01-16,Gastos Médicos,C005245,46193.76
2018-01-16,Auto,C007847,62720.87
2018-01-16,Vida,C001117,100023.86
2018-01-16,Gastos Médicos,C004559,55823.49
2018-01-16,Auto,C001839,58897.23
2018-01-16,Daños,C004583,350609.16
2018-01-16,Gastos Médicos,C004468,35391.57
2018-01-16,Daños,C001748,64390.44
2018-01-16,Daños,C002910,128159.55
2018-01-16,Auto,C000316,32233.76
2018-01-16,Auto,C001810,21350.85
2018-01-16,Daños,C002237,87118.07
2018-01-16,Vida,C000179,129187.67
2018-01-16,Daños,C003768,501933.54
2018-01-16,Vida,C005710,416920.88
2018-01-16,Auto,C004121,22562.81
2018-01-17,Daños,C007146,56671.12
2018-01-17,Daños,C007044,151962.08
2018-01-17,Auto,C004552,34019.94
2018-01-17,Daños,C006003,57200.75
2018-01-17,Vida,C002509,325185.11
2018-01-17,Auto,C005991,43299.64
2018-01-17,Daños,C000160,51158.52
2018-01-17,Daños,C006118,81857.92
2018-01-17,Gastos Médicos,C001874,37529.57
2018-01-17,Daños,C005148,60295.3
2018-01-17,Gastos Médicos,C002785,31670.27
2018-01-17,Auto,C005732,31455.69
2018-01-17,Gastos Médicos,C004982,44498.79
2018-01-17,Auto,C003121,85263.03
2018-01-17,Gastos Médicos,C003468,74635.6
2018-01-17,Auto,C002504,41295.64
2018-01-17,Gastos Médicos,C003199,44011.75
2018-01-17,Gastos Médicos,C007238,78202.28
2018-01-17,Vida,C005181,145932.47
2018-01-17,Auto,C001994,33117.06
2018-01-18,Gastos Médicos,C005064,38325.88
2018-01-18,Daños,C006213,377489.25
2018-01-18,Daños,C007255,241573.21
2018-01-18,Gastos Médicos,C003662,31070.11
2018-01-18,Daños,C002624,256948.48
2018-01-18,Daños,C007530,50903.41
2018-01-18,Vida,C007837,303641.17
2018-01-18,Auto,C000595,38499.52
2018-01-18,Vida,C000537,204822.75
2018-01-18,Gastos Médicos,C000413,69737.96
2018-01-18,Gastos Médicos,C004391,88840.63
2018-01-18,Daños,C000537,77359.43
2018-01-18,Daños,C005711,56133.51
2018-01-18,Gastos Médicos,C000869,361707.29
2018-01-18,Auto,C003133,23787.95
2018-01-18,Daños,C004701,70111.43
2018-01-18,Auto,C001148,27645.87
2018-01-18,Auto,C002147,21066.37
2018-01-19,Vida,C001160,103630.37
2018-01-19,Gastos Médicos,C006127,34135.22
2018-01-19,Auto,C005800,23551.43
2018-01-19,Auto,C003700,32294.28
2018-01-19,Vida,C000874,249043.42
2018-01-19,Gastos Médicos,C005788,31397.28
2018-01-19,Gastos Médicos,C005454,54216.63
2018-01-19,Auto,C003249,20342.91
2018-01-19,Auto,C006421,32511.45
2018-01-19,Gastos Médicos,C003412,35371.12
2018-01-19,Daños,C005539,98921.45
2018-01-19,Auto,C005385,41331.62
2018-01-19,Gastos Médicos,C006418,83167.5
2018-01-19,Gastos Médicos,C007669,41837.07
2018-01-19,Vida,C002619,202707.49
2018-01-19,Auto,C004708,61302.87
2018-01-19,Daños,C005613,300502.82
2018-01-19,Daños,C001495,111738.92
2018-01-19,Auto,C004470,20732.22
2018-01-19,Daños,C003092,200318.85
2018-01-19,Auto,C001514,75640.29
2018-01-19,Gastos Médicos,C000662,49598.63
2018-01-19,Daños,C002167,106779.24
2018-01-19,Auto,C005141,43998.52
2018-01-19,Auto,C004945,22326.34
2018-01-19,Vida,C006325,496181.26
2018-01-19,Auto,C004153,36482.3
2018-01-19,Gastos Médicos,C003548,36719.7
2018-01-19,Gastos Médicos,C006983,32508.58
2018-01-20,Auto,C002935,70612.69
2018-01-20,Auto,C002526,33997.45
2018-01-20,Auto,C005984,20348.46
2018-01-20,Vida,C001626,194109.17
2018-01-20,Daños,C003080,62894.24
2018-01-20,Gastos Médicos,C004794,327422.36
2018-01-20,Daños,C006490,102583.94
2018-01-20,Daños,C004131,102705.81
2018-01-20,Gastos Médicos,C007750,30583.54
2018-01-20,Daños,C001388,58717.85
2018-01-21,Auto,C003516,28075.22
2018-01-21,Vida,C007642,104515.06
2018-01-21,Daños,C006350,64810.95
2018-01-21,Gastos Médicos,C002429,33722.97
2018-01-21,Auto,C001087,26739.91
2018-01-21,Gastos Médicos,C006020,54825.49
2018-01-21,Vida,C004488,155466.49
2018-01-21,Gastos Médicos,C001621,30927.64
2018-01-21,Gastos Médicos,C001204,36560.35
2018-01-21,Gastos Médicos,C000970,43623.46
2018-01-21,Vida,C003715,380142.56
2018-01-21,Auto,C004105,29442.66
2018-01-21,Gastos Médicos,C001336,89264.1
2018-01-21,Gastos Médicos,C005333,114956.04
2018-01-21,Gastos Médicos,C003333,30598.01
2018-01-21,Gastos Médicos,C006220,87668.8
2018-01-21,Auto,C001665,50963.52
2018-01-21,Auto,C006689,38085.33
2018-01-21,Daños,C000248,65576.8
2018-01-21,Auto,C002028,21436.98
2018-01-22,Vida,C006973,115427.65
2018-01-22,Daños,C004387,69882.37
2018-01-22,Auto,C002688,33213.54
2018-01-22,Daños,C002080,117897.46
2018-01-22,Vida,C003043,171189.49
2018-01-22,Auto,C004870,25816.14
2018-01-22,Gastos Médicos,C001163,37491.8
2018-01-22,Daños,C005664,108320.13
2018-01-22,Vida,C005356,124919.47
2018-01-22,Auto,C005591,25698.63
2018-01-22,Gastos Médicos,C000765,79323.3
2018-01-22,Gastos Médicos,C003045,50489.1
2018-01-22,Auto,C000081,59747.89
2018-01-22,Auto,C002250,31615.2
2018-01-22,Gastos Médicos,C003463,32751.38
2018-01-22,Auto,C000345,22945.73
2018-01-22,Auto,C002500,24093.88
2018-01-23,Vida,C007113,2744451.72
2018-01-23,Gastos Médicos,C004392,91056.6
2018-01-23,Daños,C002630,107670.26
2018-01-23,Daños,C005338,99918.59
2018-01-23,Daños,C003060,232536.95
2018-01-23,Daños,C003780,129186.66
2018-01-23,Gastos Médicos,C000508,45726.77
2018-01-23,Vida,C005398,821668.16
2018-01-23,Auto,C005260,27717.0
2018-01-23,Gastos Médicos,C001394,31028.33
2018-01-23,Vida,C003681,561499.16
2018-01-23,Gastos Médicos,C005048,40146.74
2018-01-23,Gastos Médicos,C006064,33759.27
2018-01-23,Daños,C004422,58900.7
2018-01-23,Auto,C002063,21811.51
2018-01-23,Gastos Médicos,C001500,175604.94
2018-01-23,Gastos Médicos,C006250,46646.17
2018-01-24,Auto,C002079,35187.4
2018-01-24,Daños,C001884,127549.51
2018-01-24,Gastos Médicos,C007156,44170.82
2018-01-24,Gastos Médicos,C005060,44716.93
2018-01-24,Vida,C006361,121638.42
2018-01-24,Gastos Médicos,C000966,60832.3
2018-01-24,Auto,C005688,28109.64
2018-01-24,Vida,C000091,113817.19
2018-01-24,Auto,C006663,26007.35
2018-01-24,Vida,C000497,212961.22
2018-01-24,Auto,C006499,28942.59
2018-01-24,Auto,C003132,63211.03
2018-01-24,Auto,C004007,21318.35
2018-01-24,Gastos Médicos,C002882,56920.37
2018-01-24,Gastos Médicos,C006378,38985.83
2018-01-24,Gastos Médicos,C000906,81489.92
2018-01-25,Daños,C001790,54361.66
2018-01-25,Auto,C003214,23718.08
2018-01-25,Auto,C001902,48245.17
2018-01-25,Daños,C000400,104274.32
2018-01-25,Vida,C006606,114946.12
2018-01-25,Daños,C003654,244576.21
2018-01-25,Auto,C007798,21746.35
2018-01-25,Auto,C006454,41098.49
2018-01-25,Auto,C005220,26633.76
2018-01-25,Auto,C007097,35093.41
2018-01-25,Auto,C000424,23355.16
2018-01-25,Vida,C003556,136560.77
2018-01-25,Auto,C002324,33624.64
2018-01-25,Daños,C007849,58635.67
2018-01-25,Gastos Médicos,C003736,85888.12
2018-01-25,Gastos Médicos,C005643,30672.44
2018-01-25,Daños,C007904,52220.43
2018-01-25,Vida,C004329,111679.59
2018-01-25,Auto,C004751,48004.72
2018-01-25,Auto,C003129,51762.65
2018-01-25,Gastos Médicos,C001633,31543.07
2018-01-25,Gastos Médicos,C002850,85069.47
2018-01-26,Auto,C003278,24281.67
2018-01-26,Auto,C002876,55707.61
2018-01-26,Daños,C001000,66794.09
2018-01-26,Vida,C001015,129994.06
2018-01-26,Vida,C005849,570652.22
2018-01-26,Daños,C005979,177801.89
2018-01-26,Auto,C002440,28001.59
2018-01-26,Auto,C000126,21741.92
2018-01-26,Auto,C007335,43149.83
2018-01-26,Vida,C003238,622956.26
2018-01-26,Auto,C005514,28349.17
2018-01-26,Daños,C004575,511468.1
2018-01-26,Auto,C007357,29981.35
2018-01-26,Gastos Médicos,C006954,40181.51
2018-01-26,Gastos Médicos,C005698,51289.58
2018-01-26,Gastos Médicos,C001865,33340.39
2018-01-26,Gastos Médicos,C000054,33167.7
2018-01-26,Auto,C002491,22957.45
2018-01-27,Gastos Médicos,C004275,34125.53
2018-01-27,Auto,C000474,28698.5
2018-01-27,Auto,C007284,254943.36
2018-01-27,Daños,C006161,102439.38
2018-01-27,Gastos Médicos,C002465,57883.85
2018-01-27,Gastos Médicos,C002981,52795.08
2018-01-27,Gastos Médicos,C007808,68398.13
2018-01-27,Gastos Médicos,C006411,30774.72
2018-01-27,Auto,C006989,28019.58
2018-01-27,Auto,C005033,23909.33
2018-01-27,Daños,C003172,134825.71
2018-01-27,Auto,C003994,54936.95
2018-01-27,Auto,C007145,27150.68
2018-01-27,Auto,C001446,51998.31
2018-01-27,Vida,C000975,124586.87
2018-01-27,Auto,C007720,20000.88
2018-01-27,Vida,C003355,121257.95
2018-01-27,Vida,C005838,115513.54
2018-01-27,Auto,C003063,33234.99
2018-01-28,Auto,C002735,32060.15
2018-01-28,Daños,C002274,65509.83
2018-01-28,Auto,C005566,23392.07
2018-01-28,Gastos Médicos,C002460,31494.89
2018-01-28,Auto,C000115,21013.96
2018-01-28,Gastos Médicos,C000033,71379.75
2018-01-28,Auto,C003306,21259.24
2018-01-28,Vida,C000398,137628.07
2018-01-28,Auto,C005886,31452.54
2018-01-28,Vida,C006061,143883.28
2018-01-28,Auto,C002776,43065.66
2018-01-28,Gastos Médicos,C004483,45048.95
2018-01-28,Daños,C005474,82952.25
2018-01-28,Auto,C003242,39100.67
2018-01-28,Daños,C001903,60760.19
2018-01-28,Gastos Médicos,C004971,296323.89
2018-01-28,Auto,C004194,36344.46
2018-01-28,Auto,C007179,33741.91
2018-01-28,Gastos Médicos,C002232,59905.91
2018-01-28,Daños,C003275,89811.79
2018-01-28,Gastos Médicos,C005301,41511.93
2018-01-28,Gastos Médicos,C003338,33522.78
2018-01-28,Auto,C001739,20073.06
2018-01-28,Auto,C000021,25704.72
2018-01-28,Daños,C000048,215611.58
2018-01-29,Auto,C001480,27315.21
2018-01-29,Vida,C001369,282726.07
2018-01-29,Auto,C007177,42520.92
2018-01-29,Daños,C003298,55278.47
2018-01-29,Daños,C002357,112436.36
2018-01-29,Auto,C004825,20382.38
2018-01-29,Gastos Médicos,C005331,44678.8
2018-01-29,Daños,C004808,57864.67
2018-01-29,Auto,C003773,24434.39
2018-01-29,Auto,C006242,20058.85
2018-01-29,Auto,C001754,31792.24
2018-01-29,Gastos Médicos,C002318,36732.21
2018-01-29,Daños,C006657,151725.14
2018-01-29,Gastos Médicos,C007170,43875.09
2018-01-29,Gastos Médicos,C002850,85046.67
2018-01-29,Daños,C007340,65491.71
2018-01-29,Daños,C007039,205940.66
2018-01-29,Auto,C002100,23207.56
2018-01-30,Daños,C002817,54891.39
2018-01-30,Daños,C006981,68456.74
2018-01-30,Daños,C006871,74796.07
2018-01-30,Gastos Médicos,C005759,31097.05
2018-01-30,Auto,C000045,43192.29
2018-01-30,Daños,C002569,63781.0
2018-01-30,Vida,C003888,171467.83
2018-01-30,Auto,C005314,21543.2
2018-01-30,Auto,C000594,27148.07
2018-01-30,Auto,C003635,74064.19
2018-01-30,Gastos Médicos,C004337,57266.17
2018-01-30,Gastos Médicos,C002681,31822.7
2018-01-30,Gastos Médicos,C004335,33603.84
2018-01-30,Auto,C000756,62812.38
2018-01-30,Auto,C000983,27168.88
2018-01-30,Auto,C003552,35303.6
2018-01-30,Gastos Médicos,C000619,39692.01
2018-01-30,Gastos Médicos,C007235,76784.4
2018-01-30,Auto,C007647,26509.35
2018-01-30,Auto,C004643,39212.75
2018-01-30,Gastos Médicos,C002117,49044.2
2018-01-30,Auto,C002384,23620.92
2018-01-31,Gastos Médicos,C007956,42098.85
2018-01-31,Auto,C006752,39547.9
2018-01-31,Gastos Médicos,C003682,56352.33
2018-01-31,Gastos Médicos,C004239,37392.86
2018-01-31,Auto,C002488,107102.62
2018-01-31,Daños,C004535,58920.39
2018-01-31,Vida,C004471,369908.73
2018-01-31,Daños,C007555,231981.79
2018-01-31,Auto,C003326,34078.18
2018-01-31,Vida,C005008,918262.26
2018-01-31,Auto,C002931,36970.45
2018-01-31,Vida,C001902,245932.82
2018-01-31,Daños,C002851,70064.25
2018-01-31,Auto,C001225,76841.44
2018-01-31,Auto,C004711,50585.08
2018-01-31,Vida,C007228,227110.13
2018-02-01,Daños,C005894,77354.09
2018-02-01,Gastos Médicos,C002610,108563.19
2018-02-01,Daños,C007935,58615.65
2018-02-01,Auto,C006396,34613.37
2018-02-01,Daños,C006621,71916.35
2018-02-01,Vida,C001591,175982.07
2018-02-01,Auto,C004633,45408.69
2018-02-01,Gastos Médicos,C003743,30333.47
2018-02-01,Auto,C004025,35790.37
2018-02-01,Auto,C007871,26428.22
2018-02-01,Vida,C005640,114092.74
2018-02-01,Auto,C006715,30608.78
2018-02-01,Vida,C004496,176603.48
2018-02-01,Daños,C004051,92892.82
2018-02-01,Gastos Médicos,C006135,32830.19
2018-02-01,Daños,C003611,114441.04
2018-02-02,Auto,C003592,152080.02
2018-02-02,Auto,C000559,28036.66
2018-02-02,Daños,C004511,153841.28
2018-02-02,Vida,C002606,115333.57
2018-02-02,Auto,C007854,22696.68
2018-02-02,Auto,C007964,72542.04
2018-02-02,Vida,C001288,171319.7
2018-02-02,Vida,C007786,313841.69
2018-02-02,Daños,C004799,938584.89
2018-02-02,Auto,C004410,27004.46
2018-02-02,Auto,C003134,38743.36
2018-02-03,Vida,C007089,164837.56
2018-02-03,Daños,C001928,70854.24
2018-02-03,Daños,C005631,80318.87
2018-02-03,Vida,C007625,274444.35
2018-02-03,Auto,C002345,28140.29
2018-02-03,Daños,C003197,118471.76
2018-02-03,Daños,C005524,89452.76
2018-02-03,Auto,C004820,29273.51
2018-02-03,Auto,C006251,40254.43
2018-02-03,Gastos Médicos,C007668,34688.96
2018-02-03,Daños,C007153,72204.3
2018-02-03,Auto,C002917,35557.75
2018-02-03,Vida,C002815,142406.75
2018-02-03,Gastos Médicos,C000516,31174.02
2018-02-04,Daños,C003981,95436.79
2018-02-04,Auto,C002479,34503.29
2018-02-04,Auto,C003658,30851.52
2018-02-04,Auto,C003717,108878.79
2018-02-04,Daños,C007511,67578.81
2018-02-04,Daños,C005146,54002.03
2018-02-04,Daños,C007059,81897.28
2018-02-04,Auto,C002395,21954.14
2018-02-04,Auto,C005522,22598.43
2018-02-04,Auto,C005447,20193.41
2018-02-04,Auto,C004382,27609.86
2018-02-04,Auto,C000055,25145.01
2018-02-04,Gastos Médicos,C002801,34007.84
2018-02-05,Auto,C002848,29375.12
2018-02-05,Daños,C005861,55587.25
2018-02-05,Gastos Médicos,C003265,39850.62
2018-02-05,Daños,C000714,91408.96
2018-02-05,Vida,C003584,182082.32
2018-02-05,Auto,C006930,20746.69
2018-02-05,Gastos Médicos,C000885,31676.52
2018-02-05,Gastos Médicos,C002760,474688.33
2018-02-05,Gastos Médicos,C004637,30438.29
2018-02-05,Gastos Médicos,C006392,40363.02
2018-02-05,Vida,C005956,181384.06
2018-02-05,Gastos Médicos,C007027,45444.68
2018-02-05,Daños,C000078,163592.76
2018-02-05,Gastos Médicos,C007302,30213.27
2018-02-05,Auto,C000986,31561.03
2018-02-05,Daños,C005207,331066.62
2018-02-06,Auto,C005368,25634.25
2018-02-06,Gastos Médicos,C006070,73917.28
2018-02-06,Gastos Médicos,C000495,34903.31
2018-02-06,Daños,C003234,55497.05
2018-02-06,Gastos Médicos,C000062,59160.4
2018-02-06,Auto,C004223,23011.67
2018-02-06,Daños,C001814,183092.7
2018-02-06,Auto,C006553,59575.29
2018-02-06,Auto,C006781,22208.51
2018-02-06,Auto,C004015,39787.21
2018-02-06,Gastos Médicos,C004699,40008.91
2018-02-06,Daños,C005175,59578.33
2018-02-06,Auto,C007206,21942.41
2018-02-06,Gastos Médicos,C000347,40550.73
2018-02-06,Auto,C002516,22800.1
2018-02-06,Gastos Médicos,C001911,55117.06
2018-02-06,Gastos Médicos,C000853,48623.69
2018-02-07,Gastos Médicos,C000866,43448.19
2018-02-07,Auto,C000322,173734.39
2018-02-07,Daños,C005132,77376.7
2018-02-07,Auto,C005186,38480.55
2018-02-07,Daños,C002096,52895.7
2018-02-07,Vida,C000521,456385.59
2018-02-07,Daños,C002979,71458.73
2018-02-07,Auto,C001858,119565.18
2018-02-07,Gastos Médicos,C005841,36374.8
2018-02-07,Gastos Médicos,C002871,53913.72
2018-02-07,Auto,C001755,34029.4
2018-02-07,Auto,C000371,22117.26
2018-02-07,Auto,C004292,77779.65
2018-02-07,Auto,C007449,20634.94
2018-02-07,Daños,C006518,278313.27
2018-02-07,Auto,C003222,23278.57
2018-02-07,Gastos Médicos,C002201,58111.18
2018-02-07,Auto,C005012,33791.95
2018-02-07,Daños,C007654,74457.17
2018-02-07,Auto,C002022,22394.56
2018-02-08,Gastos Médicos,C001201,36292.04
2018-02-08,Auto,C005923,30961.02
2018-02-08,Vida,C005484,126347.2
2018-02-08,Auto,C003027,21485.09
2018-02-08,Gastos Médicos,C006921,42208.37
2018-02-08,Auto,C003078,34782.18
2018-02-08,Auto,C004880,27569.33
2018-02-08,Auto,C005199,22910.27
2018-02-08,Daños,C004146,92166.05
2018-02-08,Vida,C006997,143705.88
2018-02-08,Vida,C004320,129591.12
2018-02-08,Vida,C007320,224070.02
2018-02-08,Gastos Médicos,C003340,50437.1
2018-02-08,Gastos Médicos,C003280,41358.7
2018-02-08,Gastos Médicos,C006333,69191.14
2018-02-08,Vida,C001900,132401.72
