PolizaID,A̱o,Ramo,Moneda,NumeroAsegurados,PrimaPoliza,PrimaRetenida,PrimaCedida,DuracionOriginal_dias,TiempoTranscurrido_dias,DuracionRemanente_dias,PrimaDevengadaBEL
POL-000075,2024,DMI,USD,1,3365636.08,2019381.648,1346254.432,237,40,197,568039.84
POL-000076,2025,AUF,USD,2,378974.51,227384.706,151589.804,424,383,41,342328.39
POL-000077,2022,AUI,MXN,6,1713626.84,1028176.104,685450.736,195,93,102,817268.19
POL-000078,2022,INC,MXN,9,358318.92,214991.352,143327.568,399,208,191,186792.82
POL-000079,2022,INC,USD,9,3579759.14,2147855.484,1431903.656,233,143,90,2197019.56
POL-000080,2024,AUI,USD,3,3852844.47,2311706.682,1541137.788,322,70,252,837574.88
POL-000081,2022,RCV,USD,5,2590109.05,1554065.43,1036043.62,356,2,354,14551.17
POL-000082,2023,CAU,USD,9,508668.98,305201.388,203467.592,267,193,74,367689.56
POL-000083,2021,CAU,MXN,8,379661.92,227797.152,151864.768,573,190,383,125891.39
POL-000084,2025,AUI,MXN,7,3596841.38,2158104.828,1438736.552,215,195,20,3262251.48
POL-000085,2024,CAU,MXN,7,666080.15,399648.09,266432.06,324,147,177,302203.03
POL-000086,2025,AUF,MXN,2,1395928.98,837557.388,558371.592,497,76,421,213461.98
POL-000087,2021,CAU,USD,7,3931025.57,2358615.342,1572410.228,631,604,27,3762820.04
POL-000088,2022,INC,USD,5,4855286.38,2913171.828,1942114.552,65,38,27,2838475.11
POL-000089,2025,DMI,USD,7,2374856.81,1424914.086,949942.724,557,108,449,460474.93
POL-000090,2022,RCV,MXN,6,952394.67,571436.802,380957.868,238,130,108,520215.58
POL-000091,2022,AUI,MXN,3,3211436.88,1926862.128,1284574.752,195,45,150,741100.82
POL-000092,2021,AUF,MXN,1,4146101.89,2487661.134,1658440.756,327,63,264,798790.27
POL-000093,2023,AUI,USD,10,1695590.63,1017354.378,678236.252,658,231,427,595260.54
POL-000094,2021,AUI,MXN,7,2220881.36,1332528.816,888352.544,162,80,82,1096731.54
POL-000095,2021,AUI,USD,3,4873133.5,2923880.1,1949253.4,522,336,186,3136729.61
POL-000096,2022,CAU,USD,4,725028.58,435017.148,290011.432,480,438,42,661588.58
POL-000097,2023,CAU,MXN,7,1722555.85,1033533.51,689022.34,74,60,14,1396666.91
POL-000098,2024,INC,MXN,10,2632460.89,1579476.534,1052984.356,339,39,300,302849.48
POL-000099,2021,AUI,USD,6,3245599.18,1947359.508,1298239.672,631,507,124,2607795.22
POL-000100,2022,CAU,USD,7,612719.89,367631.934,245087.956,85,19,66,136960.92
POL-000101,2024,AUF,MXN,4,69049.18,41429.508,27619.672,477,337,140,48783.17
POL-000102,2025,DMI,USD,9,1952234.81,1171340.886,780893.924,399,289,110,1414024.71
POL-000103,2023,DMI,MXN,3,2218013.19,1330807.914,887205.276,159,94,65,1311278.24
POL-000104,2023,AUI,USD,9,2237699.72,1342619.832,895079.888,166,133,33,1792855.8
POL-000105,2022,AUI,MXN,3,4704301.08,2822580.648,1881720.432,218,113,105,2438467.99
POL-000106,2025,DMI,MXN,6,4173197.44,2503918.464,1669278.976,481,168,313,1457582.47
POL-000107,2024,RCV,USD,5,2122799.15,1273679.49,849119.66,710,331,379,989642.98
POL-000108,2022,AUF,USD,8,449529.97,269717.982,179811.988,645,549,96,382623.18
POL-000109,2023,RCV,USD,8,3984443.98,2390666.388,1593777.592,414,283,131,2723665.81
POL-000110,2025,INC,MXN,6,2293442.49,1376065.494,917376.996,136,27,109,455315.79
POL-000111,2024,DMI,USD,10,1120113.35,672068.01,448045.34,268,219,49,915316.51
POL-000112,2022,INC,USD,6,2037286.06,1222371.636,814914.424,506,420,86,1691027.95
POL-000113,2025,AUI,MXN,6,3801459.98,2280875.988,1520583.992,508,434,74,3247704
POL-000114,2022,CAU,MXN,3,4261984.32,2557190.592,1704793.728,442,300,142,2892749.54
POL-000115,2021,AUF,MXN,5,3235132.32,1941079.392,1294052.928,465,257,208,1788019.37
POL-000116,2022,CAU,USD,6,4068195.31,2440917.186,1627278.124,409,217,192,2158431.25
POL-000117,2022,DMI,MXN,4,3967429.68,2380457.808,1586971.872,294,119,175,1605864.39
POL-000118,2024,CAU,MXN,1,683541.54,410124.924,273416.616,537,143,394,182023.17
POL-000119,2025,CAU,USD,10,152840.07,91704.042,61136.028,292,165,127,86365.11
POL-000120,2022,AUF,MXN,2,2175861.76,1305517.056,870344.704,396,305,91,1675853.12
POL-000121,2023,CAU,USD,4,2135333.08,1281199.848,854133.232,454,45,409,211651.96
POL-000122,2024,AUF,MXN,3,2783390.12,1670034.072,1113356.048,717,181,536,702641.02
POL-000123,2021,AUI,USD,3,1115875.04,669525.024,446350.016,408,400,8,1093995.14
POL-000124,2025,DMI,MXN,5,1666313.5,999788.1,666525.4,344,250,94,1210983.65
POL-000125,2021,INC,MXN,6,115695.27,69417.162,46278.108,683,249,434,42178.8
POL-000126,2025,AUF,MXN,6,2317056.31,1390233.786,926822.524,359,230,129,1484465.05
POL-000127,2021,CAU,MXN,10,3920284.69,2352170.814,1568113.876,638,95,543,583741.45
POL-000128,2022,RCV,USD,6,2943058.91,1765835.346,1177223.564,589,17,572,84943.98
POL-000129,2025,AUF,USD,3,2930043.84,1758026.304,1172017.536,196,108,88,1614513.95
POL-000130,2022,DMI,USD,3,1852653.9,1111592.34,741061.56,489,459,30,1738994.15
POL-000131,2022,INC,MXN,8,4437144.03,2662286.418,1774857.612,498,374,124,3332312.99
POL-000132,2024,CAU,USD,4,4599625.15,2759775.09,1839850.06,500,44,456,404767.01
POL-000133,2024,AUF,MXN,10,1378548.87,827129.322,551419.548,407,373,34,1263387.54
POL-000134,2021,CAU,USD,7,548312.8,328987.68,219325.12,323,248,75,420995.59
POL-000135,2023,INC,MXN,9,3251515.71,1950909.426,1300606.284,67,2,65,97060.17
POL-000136,2023,AUF,MXN,3,4590039.64,2754023.784,1836015.856,375,207,168,2533701.88
POL-000137,2021,DMI,MXN,6,553180.33,331908.198,221272.132,449,366,83,450922.05
POL-000138,2025,DMI,MXN,2,4661003.35,2796602.01,1864401.34,631,172,459,1270511.21
POL-000139,2022,INC,MXN,4,4127969.13,2476781.478,1651187.652,314,261,53,3431210.01
POL-000140,2025,CAU,MXN,10,3505399.26,2103239.556,1402159.704,172,168,4,3423878.35
POL-000141,2022,CAU,USD,7,3942953.03,2365771.818,1577181.212,350,346,4,3897890.71
POL-000142,2021,INC,USD,8,13461.21,8076.726,5384.484,162,79,83,6564.42
POL-000143,2023,INC,MXN,5,36608.57,21965.142,14643.428,430,321,109,27328.72
POL-000144,2024,CAU,USD,1,4767141.57,2860284.942,1906856.628,584,118,466,963223.81
POL-000145,2025,RCV,MXN,7,3207853.59,1924712.154,1283141.436,349,53,296,487152.55
POL-000146,2024,AUI,USD,7,2694092,1616455.2,1077636.8,130,85,45,1761521.69
POL-000147,2021,RCV,USD,1,2670417.22,1602250.332,1068166.888,261,210,51,2148611.56
POL-000148,2021,INC,USD,6,2429985.48,1457991.288,971994.192,367,4,363,26484.86
POL-000149,2022,AUI,USD,5,4231932.76,2539159.656,1692773.104,246,156,90,2683664.68
POL-000150,2021,AUI,MXN,9,59403.82,35642.292,23761.528,336,202,134,35713.01
POL-000151,2025,DMI,USD,2,4794834.07,2876900.442,1917933.628,113,13,100,551618.08
POL-000152,2021,AUF,MXN,1,3226504.35,1935902.61,1290601.74,313,102,211,1051448.7
POL-000153,2023,CAU,USD,2,3876640.7,2325984.42,1550656.28,303,11,292,140736.13
POL-000154,2023,AUI,USD,4,2355914.95,1413548.97,942365.98,329,280,49,2005034
POL-000155,2022,DMI,MXN,4,2221762.5,1333057.5,888705,494,415,79,1866460.4
POL-000156,2023,DMI,MXN,7,2583230.43,1549938.258,1033292.172,435,411,24,2440707.37
POL-000157,2025,DMI,USD,9,57096.51,34257.906,22838.604,705,93,612,7531.88
POL-000158,2023,AUI,USD,5,3254633.5,1952780.1,1301853.4,586,279,307,1549561
POL-000159,2025,CAU,USD,8,4693054.18,2815832.508,1877221.672,717,268,449,1754168.09
POL-000160,2024,INC,USD,7,2669530.93,1601718.558,1067812.372,80,66,14,2202363.02
POL-000161,2023,DMI,USD,3,4839530.14,2903718.084,1935812.056,402,303,99,3647705.55
POL-000162,2022,AUF,USD,2,1247672.1,748603.26,499068.84,428,98,330,285681.93
POL-000163,2025,AUF,USD,1,4251547.68,2550928.608,1700619.072,513,368,145,3049843.17
POL-000164,2021,RCV,MXN,8,804422.71,482653.626,321769.084,556,87,469,125871.9
POL-000165,2023,RCV,MXN,9,1516232.08,909739.248,606492.832,364,114,250,474863.89
POL-000166,2022,RCV,USD,3,376567.41,225940.446,150626.964,146,92,54,237289.05
POL-000167,2021,AUF,MXN,1,928305.78,556983.468,371322.312,151,132,19,811499.09
POL-000168,2025,INC,MXN,1,1914722.47,1148833.482,765888.988,140,76,64,1039420.77
POL-000169,2024,INC,USD,7,791175.07,474705.042,316470.028,321,243,78,598926.92
POL-000170,2021,CAU,USD,9,2029262.43,1217557.458,811704.972,454,176,278,786674.42
POL-000171,2024,AUI,MXN,5,4737738.35,2842643.01,1895095.34,696,288,408,1960443.46
POL-000172,2021,AUF,USD,7,221380.09,132828.054,88552.036,485,82,403,37429.21
POL-000173,2021,CAU,USD,9,4190534.43,2514320.658,1676213.772,494,252,242,2137681.53
POL-000174,2022,AUF,USD,10,3137109.78,1882265.868,1254843.912,455,279,176,1923634.35
POL-000175,2023,AUI,USD,2,3966626.92,2379976.152,1586650.768,407,394,13,3839928.76
POL-000176,2021,RCV,MXN,7,3245673.17,1947403.902,1298269.268,124,33,91,863767.86
POL-000177,2023,AUF,MXN,9,1322458.65,793475.19,528983.46,178,80,98,594363.44
POL-000178,2022,DMI,MXN,5,863240.81,517944.486,345296.324,415,289,126,601148.42
POL-000179,2022,INC,USD,3,3825954.71,2295572.826,1530381.884,399,263,136,2521869.9
POL-000180,2023,AUF,MXN,7,4845150.58,2907090.348,1938060.232,105,3,102,138432.87
POL-000181,2021,AUF,USD,7,4461016.36,2676609.816,1784406.544,319,134,185,1873906.56
POL-000182,2021,DMI,USD,4,1271393.9,762836.34,508557.56,296,89,207,382277.22
POL-000183,2025,CAU,MXN,6,2658993.67,1595396.202,1063597.468,512,437,75,2269492.64
POL-000184,2021,AUF,MXN,10,2932209.88,1759325.928,1172883.952,686,536,150,2291056.12
POL-000185,2024,RCV,MXN,3,414135.82,248481.492,165654.328,552,49,503,36762.06
POL-000186,2025,AUI,MXN,1,3289726.66,1973835.996,1315890.664,474,59,415,409480.74
POL-000187,2023,INC,MXN,6,3891448.88,2334869.328,1556579.552,119,106,13,3466332.62
POL-000188,2021,AUI,USD,7,4540952.58,2724571.548,1816381.032,235,6,229,115939.21
POL-000189,2025,AUI,USD,1,4400839.3,2640503.58,1760335.72,511,161,350,1386565.81
POL-000190,2025,INC,MXN,1,2033953.18,1220371.908,813581.272,564,302,262,1089102.59
POL-000191,2021,DMI,MXN,9,2818051.8,1690831.08,1127220.72,584,540,44,2605732.83
POL-000192,2022,CAU,USD,2,1970519.81,1182311.886,788207.924,211,186,25,1737045.9
POL-000193,2022,AUI,USD,6,4759974.71,2855984.826,1903989.884,414,240,174,2759405.63
POL-000194,2024,INC,USD,3,818031.09,490818.654,327212.436,143,62,81,354670.82
POL-000195,2023,INC,MXN,3,2803820.41,1682292.246,1121528.164,288,144,144,1401910.21
POL-000196,2024,CAU,MXN,8,3943002.54,2365801.524,1577201.016,441,33,408,295054.61
POL-000197,2025,RCV,MXN,1,1297347.82,778408.692,518939.128,170,111,59,847091.81
POL-000198,2021,DMI,USD,1,4780623.56,2868374.136,1912249.424,640,136,504,1015882.51
POL-000199,2025,RCV,MXN,10,2619493.83,1571696.298,1047797.532,636,394,242,1622768.19
POL-000200,2023,AUI,MXN,5,4084391.67,2450635.002,1633756.668,107,28,79,1068812.77
POL-000201,2023,CAU,MXN,8,766558.05,459934.83,306623.22,65,54,11,636832.84
POL-000202,2022,INC,MXN,4,3689221.9,2213533.14,1475688.76,670,432,238,2378722.18
POL-000203,2022,CAU,MXN,4,4636624.27,2781974.562,1854649.708,634,623,11,4556178.11
POL-000204,2024,CAU,MXN,7,344990.68,206994.408,137996.272,205,56,149,94241.36
POL-000205,2024,RCV,USD,6,2894365.62,1736619.372,1157746.248,246,50,196,588285.7
POL-000206,2024,DMI,USD,8,4537488.18,2722492.908,1814995.272,433,254,179,2661713.62
POL-000207,2023,RCV,USD,3,3921053.04,2352631.824,1568421.216,335,116,219,1357737.77
POL-000208,2024,AUF,USD,2,825612.78,495367.668,330245.112,213,86,127,333346.01
POL-000209,2022,CAU,MXN,7,233965.37,140379.222,93586.148,104,37,67,83237.68
POL-000210,2022,INC,MXN,7,504973.1,302983.86,201989.24,348,255,93,370023.39
POL-000211,2024,RCV,USD,4,2438056.3,1462833.78,975222.52,527,260,267,1202836.13
POL-000212,2021,RCV,MXN,1,885651.6,531390.96,354260.64,146,93,53,564147.94
POL-000213,2021,INC,MXN,7,4629240.35,2777544.21,1851696.14,668,143,525,990990.07
POL-000214,2021,AUF,MXN,8,736849.16,442109.496,294739.664,617,190,427,226906.55
POL-000215,2023,AUF,MXN,1,4197701.7,2518621.02,1679080.68,436,277,159,2666888.47
POL-000216,2022,CAU,USD,5,2577473.26,1546483.956,1030989.304,462,96,366,535578.86
POL-000217,2022,RCV,MXN,8,4896623.88,2937974.328,1958649.552,398,305,93,3752437.9
POL-000218,2025,AUF,USD,7,745314.79,447188.874,298125.916,361,79,282,163102.13
POL-000219,2025,INC,USD,5,2507279.32,1504367.592,1002911.728,130,67,63,1292213.19
POL-000220,2023,AUI,MXN,2,1023517.02,614110.212,409406.808,520,333,187,655444.55
POL-000221,2021,AUF,USD,9,4915365.94,2949219.564,1966146.376,655,401,254,3009254.57
POL-000222,2024,AUI,USD,9,1239056.42,743433.852,495622.568,126,115,11,1130884.83
POL-000223,2022,DMI,USD,3,2804561.49,1682736.894,1121824.596,429,144,285,941391.27
POL-000224,2025,DMI,MXN,5,3518521.6,2111112.96,1407408.64,658,119,539,636328.37
POL-000225,2023,AUI,USD,8,2972090.76,1783254.456,1188836.304,313,269,44,2554288.86
POL-000226,2023,AUI,USD,2,1645036.72,987022.032,658014.688,366,102,264,458452.86
POL-000227,2023,RCV,MXN,5,1604164.63,962498.778,641665.852,327,247,80,1211708.45
POL-000228,2024,RCV,MXN,1,4804814.97,2882888.982,1921925.988,341,239,102,3367597.59
POL-000229,2025,AUI,MXN,8,3541224.57,2124734.742,1416489.828,493,171,322,1228294.93
POL-000230,2024,AUF,USD,5,4305309.81,2583185.886,1722123.924,665,254,411,1644434.12
POL-000231,2024,RCV,USD,2,378507.62,227104.572,151403.048,587,461,126,297260.67
POL-000232,2023,DMI,MXN,2,1349497.56,809698.536,539799.024,671,91,580,183016.81
POL-000233,2025,AUF,MXN,5,2728807.46,1637284.476,1091522.984,528,68,460,351437.32
POL-000234,2024,CAU,USD,8,4662475.79,2797485.474,1864990.316,636,530,106,3885396.49
POL-000235,2024,AUF,MXN,10,2608546.15,1565127.69,1043418.46,377,107,270,740356.6
POL-000236,2022,INC,USD,8,2486952.79,1492171.674,994781.116,157,128,29,2027579.34
POL-000237,2025,DMI,MXN,7,2453733.18,1472239.908,981493.272,308,32,276,254933.32
POL-000238,2025,RCV,MXN,8,4515897.76,2709538.656,1806359.104,171,86,85,2271153.26
POL-000239,2021,AUI,MXN,7,1525709.23,915425.538,610283.692,669,323,346,736627.92
POL-000240,2025,AUI,USD,3,2975169.45,1785101.67,1190067.78,389,155,234,1185478.83
POL-000241,2023,AUF,MXN,1,2169257.4,1301554.44,867702.96,639,278,361,943745.79
POL-000242,2024,AUI,USD,3,2244290.05,1346574.03,897716.02,383,266,117,1558697.53
POL-000243,2023,AUF,MXN,10,315921,189552.6,126368.4,435,399,36,289775.81
POL-000244,2025,DMI,MXN,9,202303.54,121382.124,80921.416,384,115,269,60585.7
POL-000245,2021,CAU,MXN,9,2857300.74,1714380.444,1142920.296,244,133,111,1557463.11
POL-000246,2021,DMI,MXN,2,2326309.75,1395785.85,930523.9,253,127,126,1167752.33
POL-000247,2023,INC,MXN,8,3891214.7,2334728.82,1556485.88,139,71,68,1987598.88
POL-000248,2021,AUI,USD,7,965747.18,579448.308,386298.872,399,360,39,871350.84
POL-000249,2023,RCV,MXN,5,1725515.07,1035309.042,690206.028,562,193,369,592570.12
POL-000250,2022,CAU,USD,1,2725688.06,1635412.836,1090275.224,302,155,147,1398945.86
POL-000251,2023,INC,USD,9,4003612.65,2402167.59,1601445.06,382,267,115,2798336.59
POL-000252,2023,CAU,USD,6,4196561.04,2517936.624,1678624.416,677,51,626,316136.8
POL-000253,2025,RCV,USD,6,4594786.1,2756871.66,1837914.44,517,264,253,2346273.75
POL-000254,2022,AUF,USD,8,1997130.88,1198278.528,798852.352,159,34,125,427059.43
POL-000255,2022,AUF,USD,3,2557856.49,1534713.894,1023142.596,488,156,332,817675.44
POL-000256,2022,AUI,MXN,8,3283264.2,1969958.52,1313305.68,386,358,28,3045099.96
POL-000257,2023,CAU,USD,1,3235858.19,1941514.914,1294343.276,408,357,51,2831375.92
POL-000258,2024,DMI,MXN,6,3194802.62,1916881.572,1277921.048,152,54,98,1134995.67
POL-000259,2024,CAU,USD,3,4779925.56,2867955.336,1911970.224,253,217,36,4099778.05
POL-000260,2024,INC,MXN,5,369909.93,221945.958,147963.972,128,125,3,361240.17
POL-000261,2024,AUI,USD,2,2274600.48,1364760.288,909840.192,118,103,15,1985456.35
POL-000262,2024,CAU,MXN,10,2947973.24,1768783.944,1179189.296,72,46,26,1883427.35
POL-000263,2024,CAU,USD,4,3306696.25,1984017.75,1322678.5,657,129,528,649259.99
POL-000264,2022,CAU,USD,8,945466.74,567280.044,378186.696,702,316,386,425594.71
POL-000265,2021,AUI,MXN,8,684878.82,410927.292,273951.528,99,1,98,6917.97
POL-000266,2023,RCV,USD,10,4737277.94,2842366.764,1894911.176,606,75,531,586296.77
POL-000267,2022,AUF,USD,10,3661327.39,2196796.434,1464530.956,165,91,74,2019277.53
POL-000268,2023,AUI,USD,1,1505882.81,903529.686,602353.124,80,14,66,263529.49
POL-000269,2024,AUI,MXN,1,2221331.22,1332798.732,888532.488,116,89,27,1704297.23
POL-000270,2023,INC,USD,3,4548452.64,2729071.584,1819381.056,292,151,141,2352110.78
POL-000271,2025,DMI,USD,4,4275016.04,2565009.624,1710006.416,122,43,79,1506767.95
POL-000272,2022,RCV,MXN,10,4159826.85,2495896.11,1663930.74,537,92,445,712670.52
POL-000273,2025,RCV,USD,7,3530585.72,2118351.432,1412234.288,114,50,64,1548502.51
POL-000274,2024,INC,USD,3,3447931.56,2068758.936,1379172.624,679,360,319,1828063.86
POL-000275,2023,CAU,MXN,3,2651712.05,1591027.23,1060684.82,523,155,368,785880.24
POL-000276,2025,AUI,USD,3,4794829.03,2876897.418,1917931.612,371,87,284,1124393.87
POL-000277,2024,AUI,USD,10,4669548.85,2801729.31,1867819.54,141,141,0,4669548.85
POL-000278,2025,DMI,USD,6,2451409.38,1470845.628,980563.752,126,37,89,719858.31
POL-000279,2022,AUI,USD,2,2887229.16,1732337.496,1154891.664,133,19,114,412461.31
POL-000280,2023,DMI,MXN,3,2097284.48,1258370.688,838913.792,411,333,78,1699259.69
POL-000281,2025,RCV,USD,8,924389.54,554633.724,369755.816,534,62,472,107326.13
POL-000282,2022,AUI,MXN,1,1485565.81,891339.486,594226.324,315,48,267,226371.93
POL-000283,2021,AUF,MXN,4,2873184.46,1723910.676,1149273.784,309,96,213,892639.83
POL-000284,2024,RCV,MXN,10,2381461.07,1428876.642,952584.428,130,127,3,2326504.28
POL-000285,2023,DMI,MXN,10,2643393.42,1586036.052,1057357.368,217,164,53,1997771.99
POL-000286,2022,RCV,USD,3,906338.79,543803.274,362535.516,530,508,22,868717.18
POL-000287,2022,INC,USD,2,551110.38,330666.228,220444.152,422,417,5,544580.64
POL-000288,2023,DMI,USD,1,4654584.36,2792750.616,1861833.744,359,129,230,1672538.67
POL-000289,2021,CAU,USD,10,181087.21,108652.326,72434.884,411,90,321,39654.13
POL-000290,2023,RCV,MXN,7,4003453.8,2402072.28,1601381.52,591,243,348,1646090.14
POL-000291,2024,DMI,MXN,2,1831905.46,1099143.276,732762.184,631,265,366,769342.23
POL-000292,2022,AUI,USD,10,188309.54,112985.724,75323.816,590,568,22,181287.83
POL-000293,2025,DMI,USD,7,1833048.58,1099829.148,733219.432,150,54,96,659897.49
POL-000294,2022,DMI,MXN,3,447653.92,268592.352,179061.568,213,47,166,98778.1
